PROVINCIE;BEVOEGD GEZAG NUMMER;INSTELLINGSCODE;VESTIGINGSCODE;VESTIGINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM;VAKANTIEREGIO
Noord-Holland;28563;10ZY;10ZY00;Basisschool de Molenwiek;Korenmolenlaan;4;1611 XE;BOVENKARSPEL;0532;STEDE BROEC;Rooms-Katholiek;0228512080; ;Postbus;57;1610 AB;BOVENKARSPEL;39;Enkhuizen;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;28563;11NE;11NE00;Basissch Willibrordus;De Bouw;64;1611 JH;BOVENKARSPEL;0532;STEDE BROEC;Rooms-Katholiek;0228513251; ;De Bouw;64;1611 JH;BOVENKARSPEL;39;Enkhuizen;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;28563;11VV;11VV00;De Baskuul;Horn;15;1614 LS;LUTJEBROEK;0532;STEDE BROEC;Rooms-Katholiek;0228511616;www.debaskuul.nl;Horn;15;1614 LS;LUTJEBROEK;39;Enkhuizen;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;28614;07JK;07JK00;Eerste Openluchtschool voor het Gezonde Kind;Cliostraat;40;1077 KJ;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0206799012;www.openluchtschool1.nl;Cliostraat;40;1077 KJ;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;28614;08VA;08VA00;Tweede Openluchtschool voor het Gezonde Kind;Fred. Roeskestraat;76;1076 ED;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0206793858;www.openluchtschool2.nl;Fred. Roeskestraat;76;1076 ED;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;28849;03KF;03KF00;Jozefschool Rooms Katholiek Basisonderwijs;Gerberastraat;2;1431 SG;AALSMEER;0358;AALSMEER;Rooms-Katholiek;0297326291;www.jozefschool.net;Gerberastraat;2;1431 SG;AALSMEER;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;28849;06GP;06GP00;Rooms Katholieke Basisschool Antonius;Zonnedauwlaan;59;1433 WB;KUDELSTAART;0358;AALSMEER;Rooms-Katholiek;0297322819;www.rkantonius.nl;Zonnedauwlaan;59;1433 WB;KUDELSTAART;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;28849;09KD;09KD00;Rooms Katholieke Basisschool Oosteinder;Catharina-Amalialaan;66-B;1432 JT;AALSMEER;0358;AALSMEER;Rooms-Katholiek;0297368092;www.oosteinderschool.nl;Catharina-Amalialaan;66-B;1432 JT;AALSMEER;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;30013;21PO;21PO00;Jan van Rijckenborghschool;Trompenburg;49;1852 CC;HEILOO;0399;HEILOO;Algemeen bijzonder;0725338286;www.jvrschool.nl;Trompenburg;49;1852 CC;HEILOO;38;Alkmaar;19;Noord-Holland-Noord;24;Noord-Kennemerland;19;Alkmaar en omgeving;14;Noord-Noord-Holland;24;Noord-Kennemerland;Noord
Noord-Holland;30320;08NU;08NU00;Buitenveldertse Montessorisch;Sandenburch;1-mrt;1082 GN;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0206448446;www.bms-school.nl;Sandenburch;1-mrt;1082 GN;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;30701;22LZ;22LZ00;De Evenaar;Van der Waalslaan;33;2105 TC;HEEMSTEDE;0397;HEEMSTEDE;Algemeen bijzonder;0235472737;www.basisschooldeevenaar.nl;Van der Waalslaan;33;2105 TC;HEEMSTEDE;43;Haarlem;20;Zuidelijk Noord-Holland;25;West-Kennemerland;21;Agglomeratie Haarlem;15;Zuid-Noord-Holland;25;Zuid-Kennemerland en IJmond;Noord
Noord-Holland;30709;23FD;23FD00;Shri Laksmi School;Janusz Korczakstraat;73;1102 JR;AMSTERDAM;0363;AMSTERDAM;Hindoeïstisch;0206950368;www.shrilaksmi.nl;Janusz Korczakstraat;73;1102 JR;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;30883;23HR;23HR00;Basisschool Al Maes;Jan van Riebeekstraat;nov-13;1057 ZW;AMSTERDAM;0363;AMSTERDAM;Islamitisch;0206180838;www.as-siddieq.nl;Jan van Riebeekstraat;nov-13;1057 ZW;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;30883;30UE;30UE00;al Yaqoet;Wildrijkstraat;2;1024 CL;AMSTERDAM;0363;AMSTERDAM;Islamitisch;0206180838;www.as-siddieq.nl;Jan van Riebeekstraat;nov-13;1057 ZW;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;30883;30UF;30UF00;al Jawhara;Sumatraplantsoen;15;1095 HW;AMSTERDAM;0363;AMSTERDAM;Islamitisch;0206180838;www.as-siddieq.nl;Jan van Riebeekstraat;nov-13;1057 ZW;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;31552;04MN;04MN00;De Gooische School;Oud Blaricummerweg;21-A;1251 GV;LAREN NH;0417;LAREN;Algemeen bijzonder;0355382234; ;Oud Blaricummerweg;21-A;1251 GV;LAREN NH;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek;Noord
Noord-Holland;31657;06HI;06HI00;Oecumenische basisschool Het Spectrum;Volkerakweg;1;1628 XH;HOORN NH;0405;HOORN;Interconfessioneel;0229263254;www.hetspectrumhoorn.nl;Volkerakweg;1;1628 XH;HOORN NH;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;31657;06OM;06OM00;De Wingerd;Sint Martinusstraat;1;1689 GN;ZWAAG;0405;HOORN;Rooms-Katholiek;0229237696;www.dewingerdzwaag.nl;Sint Martinusstraat;1;1689 GN;ZWAAG;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;31657;07BH;07BH00;St Jozef;Westerblokker;77;1695 AB;BLOKKER;0405;HOORN;Rooms-Katholiek;0229247011;www.jozefschool.nl;Westerblokker;77;1695 AB;BLOKKER;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
